nominal_time,pv,timestamp,value
2026-06-01T00:00:00,BEND:DMPS:400:BACT,2026-06-01T00:00:02,10.000011194073167
2026-06-01T04:00:00,BEND:DMPS:400:BACT,2026-06-01T04:00:01,9.999996080362873
2026-06-01T08:00:00,BEND:DMPS:400:BACT,2026-06-01T08:00:02,9.999997371432526
2026-06-01T12:00:00,BEND:DMPS:400:BACT,2026-06-01T12:00:02,10.000004732854245
2026-06-01T16:00:00,BEND:DMPS:400:BACT,2026-06-01T16:00:02,9.999996898116873
2026-06-01T20:00:00,BEND:DMPS:400:BACT,2026-06-01T20:00:02,10.000006359602438
2026-06-02T00:00:00,BEND:DMPS:400:BACT,2026-06-02T00:00:02,10.000002237982937
2026-06-02T04:00:00,BEND:DMPS:400:BACT,2026-06-02T04:00:01,10.000000932995325
2026-06-02T08:00:00,BEND:DMPS:400:BACT,2026-06-02T08:00:02,9.999993393100754
2026-06-02T12:00:00,BEND:DMPS:400:BACT,2026-06-02T12:00:02,9.9999969839699
2026-06-02T16:00:00,BEND:DMPS:400:BACT,2026-06-02T16:00:01,9.999998560069184
2026-06-02T20:00:00,BEND:DMPS:400:BACT,2026-06-02T20:00:02,9.999999733716557
2026-06-03T00:00:00,BEND:DMPS:400:BACT,2026-06-03T00:00:02,10.000005736774783
2026-06-03T04:00:00,BEND:DMPS:400:BACT,2026-06-03T04:00:02,9.999996744411284
2026-06-03T08:00:00,BEND:DMPS:400:BACT,2026-06-03T08:00:02,10.000005808051865
2026-06-03T12:00:00,BEND:DMPS:400:BACT,2026-06-03T12:00:01,10.000001143518885
2026-06-03T16:00:00,BEND:DMPS:400:BACT,2026-06-03T16:00:02,9.999998774604546
2026-06-03T20:00:00,BEND:DMPS:400:BACT,2026-06-03T20:00:02,9.99999763467151
2026-06-04T00:00:00,BEND:DMPS:400:BACT,2026-06-04T00:00:01,9.999995840213423
2026-06-04T04:00:00,BEND:DMPS:400:BACT,2026-06-04T04:00:02,10.000000127296342
2026-06-04T08:00:00,BEND:DMPS:400:BACT,2026-06-04T08:00:01,9.999996568661874
2026-06-04T12:00:00,BEND:DMPS:400:BACT,2026-06-04T12:00:02,9.999992796307989
2026-06-04T16:00:00,BEND:DMPS:400:BACT,2026-06-04T16:00:02,10.000002186202796
2026-06-04T20:00:00,BEND:DMPS:400:BACT,2026-06-04T20:00:02,9.999991667948805
2026-06-05T00:00:00,BEND:DMPS:400:BACT,2026-06-05T00:00:01,10.000002261384111
2026-06-05T04:00:00,BEND:DMPS:400:BACT,2026-06-05T04:00:02,10.000004875732099
2026-06-05T08:00:00,BEND:DMPS:400:BACT,2026-06-05T08:00:02,9.99999760738451
2026-06-05T12:00:00,BEND:DMPS:400:BACT,2026-06-05T12:00:01,10.00000202185051
2026-06-05T16:00:00,BEND:DMPS:400:BACT,2026-06-05T16:00:02,9.999998314748431
2026-06-05T20:00:00,BEND:DMPS:400:BACT,2026-06-05T20:00:02,10.000003329126818
2026-06-06T00:00:00,BEND:DMPS:400:BACT,2026-06-06T00:00:02,10.000006012043503
2026-06-06T04:00:00,BEND:DMPS:400:BACT,2026-06-06T04:00:02,10.00000482621041
2026-06-06T08:00:00,BEND:DMPS:400:BACT,2026-06-06T08:00:02,9.99999388610727
2026-06-06T12:00:00,BEND:DMPS:400:BACT,2026-06-06T12:00:01,10.000002199062406
2026-06-06T16:00:00,BEND:DMPS:400:BACT,2026-06-06T16:00:02,10.000006527519359
2026-06-06T20:00:00,BEND:DMPS:400:BACT,2026-06-06T20:00:02,10.000004475884866
2026-06-07T00:00:00,BEND:DMPS:400:BACT,2026-06-07T00:00:02,9.999999166887127
2026-06-07T04:00:00,BEND:DMPS:400:BACT,2026-06-07T04:00:02,10.000006429717729
2026-06-07T08:00:00,BEND:DMPS:400:BACT,2026-06-07T08:00:02,9.999995864635594
2026-06-07T12:00:00,BEND:DMPS:400:BACT,2026-06-07T12:00:00,9.999998916287613
2026-06-07T16:00:00,BEND:DMPS:400:BACT,2026-06-07T16:00:02,9.99999929726394
2026-06-07T20:00:00,BEND:DMPS:400:BACT,2026-06-07T20:00:02,10.00000332648885
2026-06-08T00:00:00,BEND:DMPS:400:BACT,2026-06-08T00:00:02,10.000001713917213
2026-06-08T04:00:00,BEND:DMPS:400:BACT,2026-06-08T04:00:02,9.999995579105718
2026-06-08T08:00:00,BEND:DMPS:400:BACT,2026-06-08T08:00:02,9.999998948972724
2026-06-08T12:00:00,BEND:DMPS:400:BACT,2026-06-08T12:00:02,9.99999566754936
2026-06-08T16:00:00,BEND:DMPS:400:BACT,2026-06-08T16:00:02,9.999999537910979
2026-06-08T20:00:00,BEND:DMPS:400:BACT,2026-06-08T20:00:01,9.999992975549986
2026-06-09T00:00:00,BEND:DMPS:400:BACT,2026-06-09T00:00:02,9.99999409371624
